datetime,sym,price,size
2025.05.05D08:00:00.009039359,IBM,244.56,10
2025.05.05D08:00:00.156501572,IBM,243,8
2025.05.05D08:00:00.156579644,IBM,244.03,6
2025.05.05D08:00:01.063738003,IBM,243.3,12
2025.05.05D08:00:01.075676460,IBM,243.3,13
2025.05.05D08:00:01.187209064,IBM,243.99,1
2025.05.05D08:00:01.729974584,IBM,243.54,7
2025.05.05D08:00:05.439216737,IBM,244.01,1
2025.05.05D08:01:40.819117821,IBM,243.05,1
2025.05.05D08:02:41.730164503,IBM,243.09,1
2025.05.05D08:04:05.702350112,IBM,243.3,1
2025.05.05D08:04:06.029902068,IBM,244.14,1
2025.05.05D08:07:00.620011362,IBM,243.47,5
2025.05.05D08:07:00.751153591,IBM,243.45,1
2025.05.05D08:07:01.244851235,IBM,244.12,1
2025.05.05D08:10:00.620213209,IBM,243.61,5
2025.05.05D08:10:28.467937239,IBM,243.61,5
2025.05.05D08:11:15.364721841,IBM,243.61,2
2025.05.05D08:17:30.673615841,IBM,244.24,21
2025.05.05D08:27:33.391602013,IBM,243.62,1
2025.05.05D08:33:15.622982899,IBM,243.5,5
2025.05.05D08:36:46.194058295,IBM,243.32,4
2025.05.05D08:44:35.648631919,IBM,243.89,13
2025.05.05D08:44:35.648634945,IBM,243.94,100
2025.05.05D08:44:35.648641356,IBM,243.98,100
2025.05.05D08:44:35.648641356,IBM,243.99,100
2025.05.05D08:44:35.648644012,IBM,244,87
2025.05.05D08:44:39.856894696,IBM,243.96,100
2025.05.05D08:45:56.883450458,IBM,243.52,4
2025.05.05D08:47:34.532335302,IBM,243.96,1
2025.05.05D08:56:31.583198073,IBM,243.32,5
2025.05.05D09:03:40.849852295,IBM,243.52,41
2025.05.05D09:12:19.204531717,IBM,243.71,7
2025.05.05D09:13:49.342937623,IBM,243.52,4
2025.05.05D09:16:34.473200465,IBM,243.52,1
2025.05.05D09:16:34.473287587,IBM,243.52,4
2025.05.05D09:18:32.082743017,IBM,243.95,10
2025.05.05D09:18:32.082746225,IBM,243.96,20
2025.05.05D09:18:32.082749161,IBM,244,120
2025.05.05D09:21:56.661179251,IBM,243.9,4
2025.05.05D09:23:20.615208416,IBM,243.9,20
2025.05.05D09:23:20.615274573,IBM,243.9,62
2025.05.05D09:23:20.615349655,IBM,243.92,20
2025.05.05D09:23:20.615409907,IBM,243.92,20
2025.05.05D09:24:57.449210516,IBM,243.7,1
2025.05.05D09:30:41.204103479,IBM,243.71,5
2025.05.05D09:31:45.694252246,IBM,243.72,5
2025.05.05D09:31:50.414351980,IBM,243.74,3
2025.05.05D09:33:39.269317271,IBM,243.32,3
2025.05.05D09:33:39.269401425,IBM,243.7,10
2025.05.05D09:42:31.262318052,IBM,243.72,1
2025.05.05D09:49:24.162235470,IBM,243.96,1
2025.05.05D09:54:10.557765466,IBM,243.7,2
2025.05.05D09:54:11.062679771,IBM,244.01,1
2025.05.05D09:54:11.063019585,IBM,244,1
2025.05.05D10:02:18.827149119,IBM,244,21
2025.05.05D10:05:42.771620375,IBM,244,2
